Time,Current,Theta_m,Q_load,Speed,DotQ,Delta_Theta,Tau_m
0.91,20.6165801830153,26.6211881825559,0.261998768625159,31.6172083413548,0.313042606680468,0.00157735199420589,1.13535507067865
0.911,20.6165802502293,26.6528053884339,0.262311811333014,31.6172087449825,0.313042618980905,0.0015773509287077,1.13535507438013
0.912,20.6165803159211,26.6844225943435,0.262624854064026,31.6172092675266,0.313042627966175,0.00157734984036462,1.13535507799778
0.913,20.6165803797468,26.7160398004674,0.262937896812539,31.6172099014326,0.313042633703495,0.001577348736643,1.13535508151266
0.914,20.6165804413524,26.7476570069978,0.263250939572495,31.6172106381709,0.313042636279973,0.00157734762550227,1.13535508490528
0.915,20.6165805003743,26.7792742141357,0.263563982337434,31.6172114682373,0.313042635802605,0.0015773465153946,1.13535508815561
0.916,20.6165805564387,26.8108914220916,0.263877025100493,31.6172123811527,0.313042632398279,0.00157734541526527,1.13535509124308
0.917,20.616580609162,26.8425086310849,0.264190067854407,31.6172133654632,0.31304262621377,0.00157734433455231,1.13535509414655
0.918,20.6165806581508,26.8741258413441,0.264503110591507,31.6172144087401,0.313042617415745,0.00157734328318676,1.13535509684436
0.919,20.6165807030015,26.905743053107,0.264816153303724,31.6172154975799,0.313042606190759,0.00157734227159267,1.13535509931429
0.92,20.6165807433008,26.9373602666204,0.265129195982584,31.6172166176042,0.313042592745257,0.00157734131068676,1.13535510153357
0.921,20.6165807786255,26.9689774821403,0.265442238619213,31.6172177534598,0.313042577305574,0.00157734041187896,1.13535510347891
0.922,20.6165808085638,27.0005946999213,0.265755281204633,31.617218889121,0.313042560117757,0.00157733958666778,1.13535510512761
0.923,20.6165808356361,27.0322119187714,0.266068323771108,31.6172200509344,0.313042541377169,0.00157733879098526,1.13535510661848
0.924,20.6165808615427,27.0638291378714,0.266381366341337,31.6172212596125,0.313042521145932,0.00157733799402393,1.13535510804515
0.925,20.6165808859343,27.0954463574035,0.266694408909788,31.6172225081537,0.313042499476484,0.00157733720311731,1.1353551093884
0.926,20.6165809084886,27.1270635775376,0.267007451471251,31.6172237897576,0.313042476425159,0.00157733642516122,1.13535511063047
0.927,20.6165809289099,27.1586807984317,0.267320494020828,31.617225097825,0.313042452052194,0.00157733566661433,1.13535511175507
0.928,20.6165809469289,27.1902980202313,0.267633536553941,31.6172264259581,0.313042426421723,0.00157733493349732,1.13535511274737
0.929,20.6165809623032,27.2219152430698,0.267946579066327,31.6172277679599,0.313042399601781,0.0015773342313935,1.13535511359404
0.93,20.6165809748169,27.2535324670683,0.26825962155404,31.617229117835,0.313042371664303,0.00157733356544881,1.13535511428317
0.931,20.6165809842809,27.285149692336,0.26857266401345,31.6172304697889,0.313042342685124,0.00157733294037127,1.13535511480435
0.932,20.6165809905326,27.3167669189694,0.268885706441246,31.6172318182285,0.313042312743977,0.00157733236043173,1.13535511514863
0.933,20.616580993436,27.3483841470533,0.269198748834431,31.6172331577619,0.313042281924496,0.00157733182946335,1.13535511530852
0.934,20.616580992882,27.3800013766599,0.269511791190325,31.6172344831982,0.313042250314214,0.00157733135086152,1.13535511527801
0.935,20.6165809887879,27.4116186078493,0.269824833506567,31.617235789548,0.313042218004566,0.00157733092758455,1.13535511505255
0.936,20.6165809810977,27.4432358406696,0.270137875781111,31.6172370720229,0.313042185090884,0.00157733056215281,1.13535511462905
